City,Lat,Lng,Max. Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,54,114.1577,23.89,63,99,1.34,HK,1618810808
punta arenas,54,29.0864,6,49,0,5.14,NO,1618810859
pisco,54,-63.1667,20.39,91,6,1.13,BO,1618810808
sao filipe,54,-24.4956,22.42,75,69,3.86,CV,1618810660
trairi,54,-76.2167,19,82,0,1.54,PE,1618810863
victoria,54,89.8983,0.84,74,100,10.36,RU,1618810864
berlevag,54,147.0587,18.33,49,86,1.79,AU,1618810865
kirkland lake,54,-39.2689,23.57,94,99,2.94,BR,1618810867
vaitupu,54,-70.9167,7,87,0,1.54,CL,1618810868
santa cruz,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
stawell,54,1.4078,26.86,14,56,5.56,ML,1618810659
ilhabela,54,142.7667,17.8,46,95,5.14,AU,1618810872
rikitea,54,152.9167,22.22,56,0,0.45,AU,1618810632
hermanus,54,-80.0377,1,86,75,1.72,CA,1618810874
new norfolk,54,19.2345,16.67,90,100,1.34,ZA,1618810623
tashtyp,54,57.7575,28.89,83,75,5.14,MU,1618810877
kidal,54,-68.3,10,76,90,1.54,AR,1618810650
bambous virieux,54,-134.9692,25.58,71,6,2.06,PF,1618810879
port macquarie,54,-173.3,0,69,0,2,RU,1618810880
provideniya,54,-45.3581,21.35,88,75,3.56,BR,1618810882
